"week","name","state","DOY","value"
9,"X20152016","Victoria",420,21.3
9,"X20162017","New South Wales",420,54.2
9,"X20162017","Queensland",420,898
9,"X20162017","Victoria",420,6.4
9,"X20172018","New South Wales",420,622
9,"X20172018","Queensland",420,892
9,"X20172018","Victoria",420,2.5
9,"X20182019","New South Wales",420,212
9,"X20182019","Queensland",420,806
9,"X20182019","Victoria",420,22.3
9,"X20192020","New South Wales",420,307
9,"X20192020","Queensland",420,987
9,"X20192020","Victoria",420,21.2
10,"X20022003","New South Wales",469,200
10,"X20022003","Queensland",469,1638
10,"X20022003","Victoria",469,10.3
10,"X20032004","New South Wales",469,663
10,"X20032004","Queensland",469,1236
10,"X20032004","Victoria",469,30.1
10,"X20042005","New South Wales",469,84
10,"X20042005","Queensland",469,680
10,"X20042005","Victoria",469,0.7
10,"X20052006","New South Wales",469,148
10,"X20052006","Queensland",469,1386
10,"X20052006","Victoria",469,17.2
10,"X20062007","New South Wales",469,167
10,"X20062007","Queensland",469,983
10,"X20062007","Victoria",469,4.5
10,"X20072008","New South Wales",469,128
10,"X20072008","Queensland",469,383
10,"X20072008","Victoria",469,27.1
10,"X20082009","New South Wales",469,36
10,"X20082009","Queensland",469,857
10,"X20082009","Victoria",469,6.5
10,"X20092010","New South Wales",469,110
10,"X20092010","Queensland",469,1566
10,"X20092010","Victoria",469,14.3
10,"X20102011","New South Wales",469,113
10,"X20102011","Queensland",469,1201
10,"X20102011","Victoria",469,3.6
10,"X20112012","New South Wales",469,229
10,"X20112012","Queensland",469,3865
10,"X20112012","Victoria",469,21.2
10,"X20122013","New South Wales",469,639
10,"X20122013","Queensland",469,2946
10,"X20122013","Victoria",469,28.2
10,"X20132014","New South Wales",469,473
10,"X20132014","Queensland",469,774
10,"X20132014","Victoria",469,16.4
10,"X20142015","New South Wales",469,158
10,"X20142015","Queensland",469,1588
10,"X20142015","Victoria",469,18.2
10,"X20152016","New South Wales",469,88.1
10,"X20152016","Queensland",469,733
10,"X20152016","Victoria",469,2.5
10,"X20162017","New South Wales",469,41
10,"X20162017","Queensland",469,577
10,"X20162017","Victoria",469,8.4
10,"X20172018","New South Wales",469,666
10,"X20172018","Queensland",469,1225
10,"X20172018","Victoria",469,4.5
10,"X20182019","New South Wales",469,126
10,"X20182019","Queensland",469,2087
10,"X20182019","Victoria",469,27.1
10,"X20192020","New South Wales",469,1505
10,"X20192020","Queensland",469,2194
10,"X20192020","Victoria",469,27.3
11,"X20022003","New South Wales",518,350
11,"X20022003","Queensland",518,1496
11,"X20022003","Victoria",518,45.1
11,"X20032004","New South Wales",518,1013
11,"X20032004","Queensland",518,2079
11,"X20032004","Victoria",518,2.6
11,"X20042005","New South Wales",518,124
11,"X20042005","Queensland",518,853
11,"X20042005","Victoria",518,8.3
11,"X20052006","New South Wales",518,214
11,"X20052006","Queensland",518,1210
11,"X20052006","Victoria",518,0.7
11,"X20062007","New South Wales",518,141
11,"X20062007","Queensland",518,1330
11,"X20062007","Victoria",518,33.2
11,"X20072008","New South Wales",518,245
11,"X20072008","Queensland",518,1594
11,"X20072008","Victoria",518,2.6
11,"X20082009","New South Wales",518,218
11,"X20082009","Queensland",518,1611
11,"X20082009","Victoria",518,29.2
11,"X20092010","New South Wales",518,361
11,"X20092010","Queensland",518,2807
11,"X20092010","Victoria",518,29.1
11,"X20102011","New South Wales",518,45
11,"X20102011","Queensland",518,1296
11,"X20102011","Victoria",518,1.6
11,"X20112012","New South Wales",518,215
11,"X20112012","Queensland",518,5014
11,"X20112012","Victoria",518,17.3
11,"X20122013","New South Wales",518,372
11,"X20122013","Queensland",518,3065
11,"X20122013","Victoria",518,32.3
11,"X20132014","New South Wales",518,416
11,"X20132014","Queensland",518,1063
11,"X20132014","Victoria",518,4.5
11,"X20142015","New South Wales",518,163
11,"X20142015","Queensland",518,1515
11,"X20142015","Victoria",518,4.4
11,"X20152016","New South Wales",518,325
11,"X20152016","Queensland",518,1012
11,"X20152016","Victoria",518,32.2
11,"X20162017","New South Wales",518,56.1
11,"X20162017","Queensland",518,476
11,"X20162017","Victoria",518,2.6
11,"X20172018","New South Wales",518,400
11,"X20172018","Queensland",518,1404
11,"X20172018","Victoria",518,6.5
11,"X20182019","New South Wales",518,361
11,"X20182019","Queensland",518,1567
11,"X20182019","Victoria",518,40.2
11,"X20192020","New South Wales",518,1719
11,"X20192020","Queensland",518,1755
11,"X20192020","Victoria",518,14.2
12,"X20022003","New South Wales",567,289
12,"X20022003","Queensland",567,2348
12,"X20022003","Victoria",567,7.4
12,"X20032004","New South Wales",567,880
12,"X20032004","Queensland",567,2790
12,"X20032004","Victoria",567,16.2
12,"X20042005","New South Wales",567,369
12,"X20042005","Queensland",567,1856
12,"X20042005","Victoria",567,52.1
12,"X20052006","New South Wales",567,225.1
12,"X20052006","Queensland",567,1711
12,"X20052006","Victoria",567,7.5
12,"X20062007","New South Wales",567,326
12,"X20062007","Queensland",567,1435
12,"X20062007","Victoria",567,133.1
12,"X20072008","New South Wales",567,449
12,"X20072008","Queensland",567,2883
12,"X20072008","Victoria",567,5.6
12,"X20082009","New South Wales",567,202
12,"X20082009","Queensland",567,2281
12,"X20082009","Victoria",567,19.1
12,"X20092010","New South Wales",567,250
12,"X20092010","Queensland",567,3437
12,"X20092010","Victoria",567,13.4
12,"X20102011","New South Wales",567,100
12,"X20102011","Queensland",567,529
12,"X20102011","Victoria",567,4.4
12,"X20112012","New South Wales",567,597
12,"X20112012","Queensland",567,7810
12,"X20112012","Victoria",567,21
12,"X20122013","New South Wales",567,126
12,"X20122013","Queensland",567,3233
12,"X20122013","Victoria",567,9.4
12,"X20132014","New South Wales",567,116.1
12,"X20132014","Queensland",567,2239
12,"X20132014","Victoria",567,3.5
12,"X20142015","New South Wales",567,202
12,"X20142015","Queensland",567,2264
